Year,Month,Day,regulations,catch_area_code,location_code,location_name,boats,anglers,chinook_ad_kept,chinook_um_kept,chinook_unk_kept,chinook_ad_released,chinook_um_released,chinook_unk_released,coho_ad_kept,coho_um_kept,coho_unk_kept,coho_ad_released,coho_um_released,coho_unk_released,pink_na_kept,chum_na_kept,sockeye_na_kept,pink_na_released,chum_na_released,sockeye_na_released
2010,7,1,B,5,1450,Olson's East Docks (*1159)*,36,72,30,,,2,33,1,1,,,,1,,,,,,,
2010,7,1,B,5,1452,Olson's Ramp & Docks (*1159)*,8,18,16,,,1,,2,,,,,,,,,,,,
2010,7,1,B,5,1457,Van Riper's South*,51,112,51,,,3,32,4,1,,,,,2,,,,,,
2010,7,1,B,7,1013,Bellingham Ramp (Glenn St.) Squalicum Harbor,26,58,12,4,,,,1,,,,,,,,,,,,
2010,7,1,B,7,1268,Washington Park Launch Ramp,29,63,11,4,,,2,1,,,,,,,,,,,,
2010,7,1,B,11,1082,General - Area 11,2,3,6,,,,,,,,,,,,,,,,,
2010,7,1,B,11,1173,Point Defiance Boathouse,29,37,6,,,1,7,,,,,,,,,,,,,
2010,7,1,B,11,1174,Point Defiance Public Ramp,36,63,5,,,,4,2,,,,,,,,,,,,
2010,7,1,B,Canada,1186,"Ediz Hook, Port Angeles Public Ramp",1,2,,,,,,,,,,,,,,,,,,
2010,7,1,B,4B,1452,Olson's Ramp & Docks (*1159)*,1,3,,,,,,,,,,,,,,,,,,
2010,7,1,B,4B,1457,Van Riper's South*,4,9,,,,,1,,,,,,,,,,,,,
2010,7,1,B,6,1186,"Ediz Hook, Port Angeles Public Ramp",45,77,58,,,3,9,,,,,,,,,,,,,
2010,7,1,B,6,1187,Port Angeles West Ramp,19,40,24,,,2,4,,,,,,,,,,,,,
2010,7,2,B,5,1450,Olson's East Docks (*1159)*,34,75,14,,,4,8,1,1,,,,,,,,,,,
2010,7,2,B,5,1452,Olson's Ramp & Docks (*1159)*,60,145,17,,,4,21,5,,,,,1,1,,,,,,
2010,7,2,B,7,1041,Cornet Bay Public Ramp,8,17,1,2,,,,2,,,,,,,,,,,,
2010,7,2,B,7,1268,Washington Park Launch Ramp,26,52,10,2,,,,3,,,,,,,,,,,,
2010,7,2,B,10,1006,Armeni Public Ramp,5,11,,,,,,1,1,,,,,1,,,,,,
2010,7,2,B,10,1227,Shilshole Public Ramp,3,6,,,,,,,,,,,,,,,,,,
2010,7,2,B,11,1006,Armeni Public Ramp,1,2,,,,1,,,,,,,,,,,,,,
2010,7,2,B,11,1086,Gig Harbor Ramp,7,14,1,,,,1,,,,,,,,,,,,,
2010,7,2,B,11,1149,Narrows Ramp,2,3,,,,,,,,,,,,,,,,,,
2010,7,2,B,11,1173,Point Defiance Boathouse,15,17,8,,,,1,2,,,,,,,,,,,,
2010,7,2,B,11,1174,Point Defiance Public Ramp,38,84,7,1,,2,,1,,,,,,,,,,,,
2010,7,2,B,11,1202,Redondo Ramp,6,13,,,,1,1,,,,,,,,,,,,,
2010,7,2,B,11,1279,Zittels Marina,2,4,3,,,,,2,,,,,,,,,,,,
2010,7,2,B,13,1174,Point Defiance Public Ramp,1,2,,,,,,,,,,,,,,,,,,
2010,7,2,B,13,1235,Solo Point (Tatsolo Pt-Ft Lewis) Rm,2,6,,,,,,,,,,,,,,,,,,
2010,7,2,B,82,1151,Everett Ramp (formerly Norton Street Ramp (2010)),18,40,3,2,,,,,,,,,,,,,,,,
2010,7,2,B,10,1006,Armeni Public Ramp,65,133,20,4,,16,2,30,,,,,,1,,,,,,
2010,7,2,B,10,1227,Shilshole Public Ramp,9,19,,1,,2,,2,,,,,,,,,,,,
2010,7,2,B,4B,1450,Olson's East Docks (*1159)*,5,10,,1,,,1,,,,,,,,,,,,,
2010,7,2,B,4B,1452,Olson's Ramp & Docks (*1159)*,7,17,,,,,,,,,,,,,,,,,,
2010,7,2,B,6,1041,Cornet Bay Public Ramp,1,1,,,,,,,,,,,,,,,,,,
2010,7,2,B,6,1072,Freshwater Bay Ramp,20,36,9,,,,6,,,,,,,,,,,,,
2010,7,2,B,6,1186,"Ediz Hook, Port Angeles Public Ramp",50,94,23,,,1,6,,,,,,,,,,,,,
2010,7,2,B,81,1041,Cornet Bay Public Ramp,2,6,,,,,,,,,,,,,,,,,,
2010,7,2,B,82,1151,Everett Ramp (formerly Norton Street Ramp (2010)),9,17,,,,,,,,,,,,,,,,,,
2010,7,3,B,5,1450,Olson's East Docks (*1159)*,69,177,45,,,8,30,1,,,,,2,,,,,,,
2010,7,3,B,5,1452,Olson's Ramp & Docks (*1159)*,57,148,13,,,1,27,2,4,,,,3,,,,,,,
2010,7,3,B,7,1013,Bellingham Ramp (Glenn St.) Squalicum Harbor,14,37,5,1,,,,,,,,,,,,,,,,
2010,7,3,B,7,1268,Washington Park Launch Ramp,20,42,3,2,,1,,,,,,,,,,,,,,
2010,7,3,B,10,1006,Armeni Public Ramp,11,30,,,,,1,,,,,,1,,,,,,,
2010,7,3,B,10,1227,Shilshole Public Ramp,16,30,,,,3,1,4,1,,,,,,,,,,,
2010,7,3,B,11,1006,Armeni Public Ramp,5,11,1,,,,,5,,,,,,,,,,,,
2010,7,3,B,11,1173,Point Defiance Boathouse,49,75,8,,,,5,,,,,,,,,,,,,
2010,7,3,B,11,1174,Point Defiance Public Ramp,77,171,5,,,1,4,3,,,,,,,,,,,,
2010,7,3,B,11,1191,Port Orchard Public Ramp,1,3,,,,1,,,,,,,,,,,,,,
2010,7,3,B,12,1096,Saltwater Park Ramp (Hood Canal Rmp Tacoma Light),7,14,,,,,,,,,,,,,,,,,,
2010,7,3,B,13,1093,Hartstene Is. Ramp (aka Latimer's Landing),1,3,,,,,,,,,,,,,,,,,,
2010,7,3,B,13,1126,Luhr Beach Ramp,4,8,,,,,,,,,,,,,,,,,,
2010,7,3,B,10,1006,Armeni Public Ramp,59,115,5,4,,2,2,2,,,,1,,,,,,,,
2010,7,3,B,10,1227,Shilshole Public Ramp,14,28,3,,,,,,,,,,,,,,,,,
2010,7,3,B,10,1191,Port Orchard Public Ramp,2,6,,,,,,,,,,,,,,,,,,
2010,7,3,B,4B,1450,Olson's East Docks (*1159)*,9,26,,1,,,1,,1,,,,12,,,,,,,
2010,7,3,B,4B,1452,Olson's Ramp & Docks (*1159)*,2,6,1,,,,,,,,,,,,,,,,,
2010,7,3,B,6,1072,Freshwater Bay Ramp,28,53,8,,,,6,,,,,,,,,,,,,
2010,7,3,B,6,1186,"Ediz Hook, Port Angeles Public Ramp",49,105,25,,,,5,,,,,,,,,,,,,
2010,7,4,B,5,1159,Olson's Resort,69,166,55,,,17,42,19,4,,,1,1,,,,,,,
2010,7,4,B,5,1263,Van Ripers Resort,41,93,20,,,2,20,1,,,,1,4,,,,,,,
2010,7,4,B,4B,1159,Olson's Resort,5,15,2,,,1,,,,,,,,,,,,,,
2010,7,4,B,4B,1263,Van Ripers Resort,1,3,,,,,,,,,,,,,,,,,,
2010,7,4,B,6,1186,"Ediz Hook, Port Angeles Public Ramp",33,74,25,,,,4,,,,,,,,,,,,,
2010,7,4,B,6,1187,Port Angeles West Ramp,4,9,3,,,,1,,,,,,,,,,,,,
2010,7,5,B,11,1173,Point Defiance Boathouse,23,36,10,,,1,5,,,,,,,,,,,,,
2010,7,5,B,13,1235,Solo Point (Tatsolo Pt-Ft Lewis) Rm,6,15,,,,,,,,,,,,,,,,,,
2010,7,5,B,13,1279,Zittels Marina,4,10,,,,,,,,,,,,,,,,,,
2010,7,6,B,11,1086,Gig Harbor Ramp,7,11,2,,,,,,,,,,,,,,,,,
2010,7,6,B,11,1149,Narrows Ramp,1,3,,,,,,,,,,,,,,,,,,
2010,7,6,B,13,1086,Gig Harbor Ramp,1,1,,,,,,,,,,,,,,,,,,
2010,7,6,B,13,1126,Luhr Beach Ramp,1,1,,,,,,,,,,,,,,,,,,
2010,7,7,B,10,1006,Armeni Public Ramp,2,4,,,,,,,,,,,,,,,,,,
2010,7,7,B,11,1006,Armeni Public Ramp,9,18,2,,,,,2,,,,,,,,,,,,
2010,7,7,B,11,1149,Narrows Ramp,2,3,3,,,,,2,,,,,,,,,,,,
2010,7,7,B,11,1202,Redondo Ramp,8,11,,,,,,2,,,,,,,,,,,,
2010,7,8,B,5,1451,Olson's West Docks (*1159)*,8,21,3,,,1,2,1,,,,,3,,,,,,,
2010,7,8,B,5,1452,Olson's Ramp & Docks (*1159)*,44,106,13,,,3,15,3,1,,,,,,,,,,,
2010,7,8,B,11,1086,Gig Harbor Ramp,19,36,,,,,2,2,,,,,,,,,,,,
2010,7,8,B,11,1173,Point Defiance Boathouse,21,25,8,,,,,,,,,,,,,,,,,
2010,7,8,B,11,1174,Point Defiance Public Ramp,47,91,5,,,2,2,4,,,,,,,,,,,,
2010,7,8,B,13,1279,Zittels Marina,1,3,,,,,,,,,,,,,,,,,,
2010,7,8,B,4B,1451,Olson's West Docks (*1159)*,3,7,,,,,,,,,,,,,,,,,,
2010,7,8,B,4B,1452,Olson's Ramp & Docks (*1159)*,2,5,,,,,,,,,,,,,,,,,,
2010,7,8,B,6,1072,Freshwater Bay Ramp,16,28,3,1,,1,4,,,,,,,,,,,,,
2010,7,8,B,6,1186,"Ediz Hook, Port Angeles Public Ramp",31,51,10,,,2,5,,,,,,,,,,,,,
2010,7,9,B,4,1452,Olson's Ramp & Docks (*1159)*,3,10,,,,,,,,,,,,,,,,,,
2010,7,9,B,5,1450,Olson's East Docks (*1159)*,53,121,33,,,,28,1,1,,,,,,,,,,,
2010,7,9,B,5,1452,Olson's Ramp & Docks (*1159)*,66,147,21,,,11,27,1,,,,,1,,,,,,,
2010,7,9,B,7,1013,Bellingham Ramp (Glenn St.) Squalicum Harbor,22,51,4,7,,6,,3,,,,,,,,,,,,
2010,7,9,B,7,1268,Washington Park Launch Ramp,8,16,2,1,,,,,,,,,,1,,,,,,
2010,7,9,B,9,1006,Armeni Public Ramp,1,2,,,,,,,,,,2,,,,,,,,
2010,7,9,B,10,1006,Armeni Public Ramp,2,3,,,,,,,,,,,,,,,,,,
2010,7,9,B,11,1006,Armeni Public Ramp,7,11,,,,2,,,,,,,,,,,,,,
2010,7,9,B,11,1173,Point Defiance Boathouse,34,44,4,,,2,1,2,,,,,,,,,,,,
2010,7,9,B,11,1174,Point Defiance Public Ramp,38,76,4,,,3,,2,,1,,,,,,,,,,
2010,7,9,B,11,1191,Port Orchard Public Ramp,2,5,,,,,,,,,,,,,,,,,,
2010,7,9,B,11,1202,Redondo Ramp,34,64,,,,,,2,,,,,,,,,,,,
2010,7,9,B,12,1096,Saltwater Park Ramp (Hood Canal Rmp Tacoma Light),1,1,,,,,,,,,,,,,,,,,,
2010,7,9,B,13,1126,Luhr Beach Ramp,2,4,,,,,,,,,,,,,,,,,,
2010,7,9,B,13,1235,Solo Point (Tatsolo Pt-Ft Lewis) Rm,1,2,,,,,,,,,,,,,,,,,,
2010,7,9,B,13,1279,Zittels Marina,1,1,,,,,,5,,,,,,,,,,,,
2010,7,9,B,Canada,1450,Olson's East Docks (*1159)*,1,3,,,,,,,,,,,,,,,,,,
2010,7,9,B,10,1006,Armeni Public Ramp,88,181,6,2,,6,1,11,,,,,,,,,,,,
2010,7,9,B,4B,1450,Olson's East Docks (*1159)*,2,6,,,,,,,,,,,,,,,,,,
2010,7,9,B,4B,1452,Olson's Ramp & Docks (*1159)*,3,9,,,,,,,,,,,,,,,,,,
2010,7,9,B,6,1186,"Ediz Hook, Port Angeles Public Ramp",42,81,21,,,,3,,,,,,,,,,,,,
2010,7,9,B,6,1187,Port Angeles West Ramp,16,33,6,,1,1,,,,,,,,,,,,,,
2010,7,10,B,5,1450,Olson's East Docks (*1159)*,58,132,36,,,5,16,1,,,,,,,,,,,,
2010,7,10,B,5,1452,Olson's Ramp & Docks (*1159)*,59,152,18,,,4,13,,,,,,,,,,,,,
2010,7,10,B,7,1013,Bellingham Ramp (Glenn St.) Squalicum Harbor,27,68,9,3,1,1,3,2,,,,,,,,,,,,
2010,7,10,B,7,1041,Cornet Bay Public Ramp,2,4,,,,,,,,,,,,,,,,,,
2010,7,10,B,7,1151,Everett Ramp (formerly Norton Street Ramp (2010)),1,1,,,,,,,,,,,,,,,,,,
2010,7,10,B,10,1006,Armeni Public Ramp,7,19,,,,,,,,,,,,,,,,,,
2010,7,10,B,10,1151,Everett Ramp (formerly Norton Street Ramp (2010)),1,2,,,,,,,,,,,,,,,,,,
2010,7,10,B,10,1227,Shilshole Public Ramp,15,32,,,,5,1,7,,,,,,,,,,1,,
2010,7,10,B,11,1006,Armeni Public Ramp,6,13,1,,,4,,,,,,,,,,,,,,
2010,7,10,B,11,1149,Narrows Ramp,8,13,3,,,,,,,,,,,,,,,,,
