region,type,projected,actual,year,notes
SJF,troll,5582,991,2017,
SJF,net,321,54,2017,
SJ,net,9215,2562,2017,*actual value incude non-retention mortality in NT purse seine fishery for all SJ for all years
SJF,troll,4035,1946,2018,
SJF,net,508,2144,2018,
SJ,net,7974,4459,2018,
SJF,troll,4262,675,2019,
SJF,net,469,38,2019,
SJ,net,8405,4271,2019,
SJF,troll,3728,313,2020,
SJF,net,312,8,2020,
SJ,net,8260,63,2020,
SJF,troll,2721,3302,2021,
SJF,net,124,24,2021,
SJ,net,8454,2658,2021,
SJF,troll,9300,2901,2012,
SJF,net,700,1487,2012,
SJ,net,6219,527,2012,
SJF,troll,5350,5461,2013,
SJF,net,1300,620,2013,
SJ,net,8065,3937,2013,
SJF,troll,4950,4030,2014,
SJF,net,1647,1064,2014,
SJ,net,7967,8782,2014,
SJF,troll,5050,1843,2015,
SJF,net,904,820,2015,
SJ,net,8508,6989,2015,
SJF,troll,5610,1607,2016,
SJF,net,365,341,2016,
SJ,net,6385,21,2016,
SJF,troll,3831,3965,2022,
SJF,net,797,3952,2022,
SJ,net,7855,5386,2022,
