"date","year","fishery_status"
2011-07-01,2011,"open"
2011-07-02,2011,"open"
2011-07-03,2011,"open"
2011-07-04,2011,"open"
2011-07-05,2011,"open"
2011-07-06,2011,"open"
2011-07-07,2011,"open"
2011-07-08,2011,"open"
2011-07-09,2011,"open"
2011-07-10,2011,"open"
2011-07-11,2011,"open"
2011-07-12,2011,"open"
2011-07-13,2011,"open"
2011-07-14,2011,"open"
2011-07-15,2011,"open"
2011-07-16,2011,"open"
2011-07-17,2011,"open"
2011-07-18,2011,"open"
2011-07-19,2011,"open"
2011-07-20,2011,"open"
2011-07-21,2011,"open"
2011-07-22,2011,"open"
2011-07-23,2011,"open"
2011-07-24,2011,"open"
2011-07-25,2011,"open"
2011-07-26,2011,"open"
2011-07-27,2011,"open"
2011-07-28,2011,"open"
2011-07-29,2011,"open"
2011-07-30,2011,"open"
2011-07-31,2011,"open"
2011-08-01,2011,"open"
2011-08-02,2011,"open"
2011-08-03,2011,"open"
2011-08-04,2011,"open"
2011-08-05,2011,"open"
2011-08-06,2011,"open"
2011-08-07,2011,"open"
2011-08-08,2011,"open"
2011-08-09,2011,"open"
2011-08-10,2011,"open"
2011-08-11,2011,"open"
2011-08-12,2011,"open"
2011-08-13,2011,"open"
2011-08-14,2011,"open"
2011-08-15,2011,"open"
2011-08-16,2011,"open"
2011-08-17,2011,"open"
2011-08-18,2011,"open"
2011-08-19,2011,"open"
2011-08-20,2011,"open"
2011-08-21,2011,"open"
2011-08-22,2011,"open"
2011-08-23,2011,"open"
2011-08-24,2011,"open"
2011-08-25,2011,"open"
2011-08-26,2011,"open"
2011-08-27,2011,"open"
2011-08-28,2011,"open"
2011-08-29,2011,"open"
2011-08-30,2011,"open"
2011-08-31,2011,"open"
2011-09-01,2011,"open"
2011-09-02,2011,"open"
2011-09-03,2011,"open"
2011-09-04,2011,"open"
2011-09-05,2011,"open"
2011-09-06,2011,"open"
2011-09-07,2011,"open"
2011-09-08,2011,"open"
2011-09-09,2011,"open"
2011-09-10,2011,"open"
2011-09-11,2011,"open"
2011-09-12,2011,"open"
2011-09-13,2011,"open"
2011-09-14,2011,"open"
2011-09-15,2011,"open"
2011-09-16,2011,"open"
2011-09-17,2011,"open"
2011-09-18,2011,"open"
2011-09-19,2011,"open"
2011-09-20,2011,"open"
2011-09-21,2011,"open"
2011-09-22,2011,"open"
2011-09-23,2011,"open"
2011-09-24,2011,"open"
2011-09-25,2011,"open"
2011-09-26,2011,"open"
2011-09-27,2011,"open"
2011-09-28,2011,"open"
2011-09-29,2011,"open"
2011-09-30,2011,"open"
2012-07-01,2012,"open"
2012-07-02,2012,"open"
2012-07-03,2012,"open"
2012-07-04,2012,"open"
2012-07-05,2012,"open"
2012-07-06,2012,"open"
2012-07-07,2012,"open"
2012-07-08,2012,"open"
2012-07-09,2012,"open"
2012-07-10,2012,"open"
2012-07-11,2012,"open"
2012-07-12,2012,"open"
2012-07-13,2012,"open"
2012-07-14,2012,"open"
2012-07-15,2012,"open"
2012-07-16,2012,"open"
2012-07-17,2012,"open"
2012-07-18,2012,"open"
2012-07-19,2012,"open"
2012-07-20,2012,"open"
2012-07-21,2012,"open"
2012-07-22,2012,"open"
2012-07-23,2012,"open"
2012-07-24,2012,"open"
2012-07-25,2012,"open"
2012-07-26,2012,"open"
2012-07-27,2012,"open"
2012-07-28,2012,"open"
