"","year","date","fishery_status","total_incidents","date_md","sighting"
"1",2011,2011-07-01,"open",0,"07-01","yes"
"2",2011,2011-07-02,"open",0,"07-02","yes"
"3",2011,2011-07-03,"open",2,"07-03","yes"
"4",2011,2011-07-04,"open",0,"07-04","yes"
"5",2011,2011-07-05,"open",0,"07-05","yes"
"6",2011,2011-07-06,"open",0,"07-06","yes"
"7",2011,2011-07-07,"open",0,"07-07","yes"
"8",2011,2011-07-08,"open",0,"07-08","yes"
"9",2011,2011-07-09,"open",0,"07-09","yes"
"10",2011,2011-07-10,"open",0,"07-10","yes"
"11",2011,2011-07-11,"open",0,"07-11","yes"
"12",2011,2011-07-12,"open",0,"07-12","yes"
"13",2011,2011-07-13,"open",0,"07-13","yes"
"14",2011,2011-07-14,"open",0,"07-14","yes"
"15",2011,2011-07-15,"open",2,"07-15","yes"
"16",2011,2011-07-16,"open",0,"07-16","yes"
"17",2011,2011-07-17,"open",5,"07-17","yes"
"18",2011,2011-07-18,"open",0,"07-18","yes"
"19",2011,2011-07-19,"open",0,"07-19","yes"
"20",2011,2011-07-20,"open",0,"07-20","yes"
"21",2011,2011-07-21,"open",0,"07-21","yes"
"22",2011,2011-07-22,"open",0,"07-22","yes"
"23",2011,2011-07-23,"open",2,"07-23","yes"
"24",2011,2011-07-24,"open",0,"07-24","yes"
"25",2011,2011-07-25,"open",0,"07-25","yes"
"26",2011,2011-07-26,"open",1,"07-26","yes"
"27",2011,2011-07-27,"open",0,"07-27","yes"
"28",2011,2011-07-28,"open",0,"07-28","yes"
"29",2011,2011-07-29,"open",2,"07-29","yes"
"30",2011,2011-07-30,"open",2,"07-30","yes"
"31",2011,2011-07-31,"open",7,"07-31","yes"
"32",2011,2011-08-01,"open",3,"08-01","yes"
"33",2011,2011-08-02,"open",0,"08-02","yes"
"34",2011,2011-08-03,"open",0,"08-03","yes"
"35",2011,2011-08-04,"open",0,"08-04","yes"
"36",2011,2011-08-05,"open",2,"08-05","yes"
"37",2011,2011-08-06,"open",0,"08-06","yes"
"38",2011,2011-08-07,"open",0,"08-07","yes"
"39",2011,2011-08-08,"open",NA,"08-08","no"
"40",2011,2011-08-09,"open",NA,"08-09","no"
"41",2011,2011-08-10,"open",2,"08-10","yes"
"42",2011,2011-08-11,"open",0,"08-11","yes"
"43",2011,2011-08-12,"open",0,"08-12","yes"
"44",2011,2011-08-13,"open",2,"08-13","yes"
"45",2011,2011-08-14,"open",0,"08-14","yes"
"46",2011,2011-08-15,"open",0,"08-15","yes"
"47",2011,2011-08-16,"open",4,"08-16","yes"
"48",2011,2011-08-17,"open",0,"08-17","yes"
"49",2011,2011-08-18,"open",2,"08-18","yes"
"50",2011,2011-08-19,"open",0,"08-19","yes"
"51",2011,2011-08-20,"open",0,"08-20","yes"
"52",2011,2011-08-21,"open",NA,"08-21","no"
"53",2011,2011-08-22,"open",NA,"08-22","no"
"54",2011,2011-08-23,"open",0,"08-23","yes"
"55",2011,2011-08-24,"open",0,"08-24","yes"
"56",2011,2011-08-25,"open",0,"08-25","yes"
"57",2011,2011-08-26,"open",2,"08-26","yes"
"58",2011,2011-08-27,"open",0,"08-27","yes"
"59",2011,2011-08-28,"open",NA,"08-28","no"
"60",2011,2011-08-29,"open",NA,"08-29","no"
"61",2011,2011-08-30,"open",NA,"08-30","no"
"62",2011,2011-08-31,"open",NA,"08-31","no"
"63",2011,2011-09-01,"open",NA,"09-01","no"
"64",2011,2011-09-02,"open",NA,"09-02","no"
"65",2011,2011-09-03,"open",0,"09-03","yes"
"66",2011,2011-09-04,"open",1,"09-04","yes"
"67",2011,2011-09-05,"open",0,"09-05","yes"
"68",2011,2011-09-06,"open",NA,"09-06","no"
"69",2011,2011-09-07,"open",0,"09-07","yes"
"70",2011,2011-09-08,"open",0,"09-08","yes"
"71",2011,2011-09-09,"open",0,"09-09","yes"
"72",2011,2011-09-10,"open",0,"09-10","yes"
"73",2011,2011-09-11,"open",0,"09-11","yes"
"74",2011,2011-09-12,"open",0,"09-12","yes"
"75",2011,2011-09-13,"open",NA,"09-13","no"
"76",2011,2011-09-14,"open",0,"09-14","yes"
"77",2011,2011-09-15,"open",0,"09-15","yes"
"78",2011,2011-09-16,"open",0,"09-16","yes"
"79",2011,2011-09-17,"open",0,"09-17","yes"
"80",2011,2011-09-18,"open",0,"09-18","yes"
"81",2011,2011-09-19,"open",0,"09-19","yes"
"82",2011,2011-09-20,"open",0,"09-20","yes"
"83",2011,2011-09-21,"open",0,"09-21","yes"
"84",2011,2011-09-22,"open",0,"09-22","yes"
"85",2011,2011-09-23,"open",NA,"09-23","no"
"86",2011,2011-09-24,"open",NA,"09-24","no"
"87",2011,2011-09-25,"open",0,"09-25","yes"
"88",2011,2011-09-26,"open",0,"09-26","yes"
"89",2011,2011-09-27,"open",0,"09-27","yes"
"90",2011,2011-09-28,"open",0,"09-28","yes"
