VesselInci,MonitorEve,MonitorE_2,EventLocat,QuadName,Latitude_d,Longitude_d,Latitude_1,Long_1,VesselType,VesselTy_1,Short_titl,CategoryNa,incident_c,Species_Na,Species_co,Notes
4995,5/6/2012,12:00,"Turn isl., .5 mi E",188,48 32.479,122 59.236,48.54131667,-122.9872667,private motor,PM,vessel crossed the path of whales,In Path,03.3,killer whale - transients,T- oror (T),
4995,5/6/2012,12:00,"Turn isl., .5 mi E",188,48 32.479,122 59.236,48.54131667,-122.9872667,private motor,PM,200y/183m- under power,Within 200m/yds,06.2,killer whale - transients,T- oror (T),
4997,5/6/2012,13:00,"Yellow Isl., .75 mi W",192,48 35.722,123 02.593,48.59536667,-123.0432167,private motor,PM,non-compliant approach - head on,Approach,04.1,killer whale - transients,T- oror (T),
4997,5/6/2012,13:00,"Yellow Isl., .75 mi W",192,48 35.722,123 02.593,48.59536667,-123.0432167,private motor,PM,speed > 7knts w/in 400m (coming on scene),Speed,02.1,killer whale - transients,T- oror (T),
4997,5/6/2012,13:00,"Yellow Isl., .75 mi W",192,48 35.722,123 02.593,48.59536667,-123.0432167,private motor,PM,In path 200-400 yds,In Path,03.1A,killer whale - transients,T- oror (T),
5002,5/6/2012,15:30,Satelite Isl. 3/4 mi. N,164,48 41.575,123 10.575,48.69291668,-123.17625,private motor,PM,vessel crossed the path of whales,In Path,03.3,killer whale - transients,T- oror (T),
5002,5/6/2012,15:30,Satelite Isl. 3/4 mi. N,164,48 41.575,123 10.575,48.69291668,-123.17625,private motor,PM,speed > 7knts w/in 400m (departing scene),Speed,02.2,killer whale - transients,T- oror (T),
5010,5/21/2012,13:00,Point Roberts NW,97,48 57.813,123 05.287,48.96355,-123.0881167,marine monitoring,MM,vessel within 100m - stopped,Within 100 m/yds,05.1,killer whale - southern resident,SR- oror (SR),
5010,5/21/2012,13:00,Point Roberts NW,97,48 57.813,123 05.287,48.96355,-123.0881167,marine monitoring,MM,vessel within 100m - under power,Within 100 m/yds,05.2,killer whale - southern resident,SR- oror (SR),
5010,5/21/2012,13:00,Point Roberts NW,97,48 57.813,123 05.287,48.96355,-123.0881167,marine monitoring,MM,200y/183m- stopped,Within 200m/yds,06.1,killer whale - southern resident,SR- oror (SR),
5010,5/21/2012,13:00,Point Roberts NW,97,48 57.813,123 05.287,48.96355,-123.0881167,marine monitoring,MM,200y/183m- under power,Within 200m/yds,06.2,killer whale - southern resident,SR- oror (SR),
5010,5/21/2012,13:00,Point Roberts NW,97,48 57.813,123 05.287,48.96355,-123.0881167,marine monitoring,MM,In path 200-400 yds,In Path,03.1A,killer whale - southern resident,SR- oror (SR),
5014,5/21/2012,13:30,"Pt. Roberts, 2 mi. NW",97,48 57.625,123 05.552,48.96041667,-123.0925333,private motor,PM,non-compliant approach from behind,Approach,04.2,killer whale - southern resident,SR- oror (SR),
5014,5/21/2012,13:30,"Pt. Roberts, 2 mi. NW",97,48 57.625,123 05.552,48.96041667,-123.0925333,private motor,PM,speed > 7knts w/in 400m,Speed,02.0,killer whale - southern resident,SR- oror (SR),
5014,5/21/2012,13:30,"Pt. Roberts, 2 mi. NW",97,48 57.625,123 05.552,48.96041667,-123.0925333,private motor,PM,200y/183m- under power,Within 200m/yds,06.2,killer whale - southern resident,SR- oror (SR),
5015,5/28/2012,16:30,Kelp Reef 1 mi.,177,48 32.386,123 13.500,48.53976669,-123.225,Research,R,vessel within 100m - stopped,Within 100 m/yds,05.1,killer whale - transients,T- oror (T),
5015,5/28/2012,16:30,Kelp Reef 1 mi.,177,48 32.386,123 13.500,48.53976669,-123.225,Research,R,vessel within 100m - under power,Within 100 m/yds,05.2,killer whale - transients,T- oror (T),
5021,6/15/2012,13:30,Small Pox Bay NW 2mi.,176,48 32.742,123 12.497,48.54570001,-123.2082833,ecotour CDN,EC,In path 200-400 yds,In Path,03.1A,killer whale - southern resident,SR- oror (SR),
5020,6/15/2012,15:00,"Kellett Bluff, .2 mi SW",176,48 35.397,123 12.567,48.58994999,-123.20945,private motor,PM,200y/183m- fishing,Within 200m/yds,06.4,killer whale - southern resident,SR- oror (SR),
5020,6/15/2012,15:00,"Kellett Bluff, .2 mi SW",176,48 35.397,123 12.567,48.58994999,-123.20945,private motor,PM,vessel inshore of whales,Inshore,07.0,killer whale - southern resident,SR- oror (SR),
5022,6/16/2012,14:00,"Kellett Bluff, .5 mi SE",176,48 34.800,123 11.950,48.57999999,-123.1991667,ecotour kayak,EK,kayak- 200y/183m,Kayak Specific,60.6,killer whale - southern resident,SR- oror (SR),
5022,6/16/2012,14:00,"Kellett Bluff, .5 mi SE",176,48 34.800,123 11.950,48.57999999,-123.1991667,ecotour kayak,EK,kayak - offshore 1/4mile,Kayak Specific,60.4,killer whale - southern resident,SR- oror (SR),
5022,6/16/2012,14:00,"Kellett Bluff, .5 mi SE",176,48 34.800,123 11.950,48.57999999,-123.1991667,ecotour kayak,EK,kayak - spread out when whales present,Kayak Specific,60.1,killer whale - southern resident,SR- oror (SR),
5023,6/16/2012,14:00,"Kellett Bluff, .5 mi SE",176,48 34.800,123 11.950,48.57999999,-123.1991667,ecotour kayak,EK,kayak - spread out when whales present,Kayak Specific,60.1,killer whale - southern resident,SR- oror (SR),
5023,6/16/2012,14:00,"Kellett Bluff, .5 mi SE",176,48 34.800,123 11.950,48.57999999,-123.1991667,ecotour kayak,EK,kayak- 200y/183m,Kayak Specific,60.6,killer whale - southern resident,SR- oror (SR),
5024,6/16/2012,14:30,"Flattop Isl., Sandy Pt.",169,48 38.180,123 12.350,48.63633334,-123.2058333,ecotour US,EU,200y/183m- under power,Within 200m/yds,06.2,killer whale - southern resident,SR- oror (SR),
5025,6/16/2012,14:30,"Flattop Isl., Sandy Pt.",169,48 38.180,123 12.350,48.63633334,-123.2058333,ecotour CDN,EC,In path 200-400 yds,In Path,03.1A,killer whale - southern resident,SR- oror (SR),
5027,6/21/2012,12:00,Kellett Bluff .2 mi. W,176,48 35.338,123 12.320,48.58896669,-123.2053333,private motor,PM,200y/183m- stopped,Within 200m/yds,06.1,killer whale - southern resident,SR- oror (SR),
5028,6/21/2012,12:00,Kellett Bluff .2 mi. W,176,48 35.338,123 12.320,48.58896669,-123.2053333,private motor,PM,In path 200-400 yds,In Path,03.1A,killer whale - southern resident,SR- oror (SR),
5026,6/21/2012,11:30,"Kellett Bluff, .5 mi SW",176,48 34.687,123 13.252,48.57811667,-123.2208667,ecotour CDN,EC,vessel inshore of whales,Inshore,07.0,killer whale - southern resident,SR- oror (SR),
5026,6/21/2012,11:30,"Kellett Bluff, .5 mi SW",176,48 34.687,123 13.252,48.57811667,-123.2208667,ecotour CDN,EC,200y/183m- stopped,Within 200m/yds,06.1,killer whale - southern resident,SR- oror (SR),
5029,6/21/2012,13:30, Pender Island 2.5mi. S,163,48 42.099,123 14.915,48.70164998,-123.2485833,private motor,PM,speed > 7knts w/in 400m (coming on scene),Speed,02.1,killer whale - southern resident,SR- oror (SR),
5030,6/21/2012,14:30,Mouat Pt.1.5mi. SE,155,48 45.423,123 17.772,48.75705001,-123.2962,private motor,PM,In path 200-400 yds,In Path,03.1A,killer whale - southern resident,SR- oror (SR),
5030,6/21/2012,14:30,Mouat Pt.1.5mi. SE,155,48 45.423,123 17.772,48.75705001,-123.2962,private motor,PM,non-compliant approach - head on,Approach,04.1,killer whale - southern resident,SR- oror (SR),
5030,6/21/2012,14:30,Mouat Pt.1.5mi. SE,155,48 45.423,123 17.772,48.75705001,-123.2962,private motor,PM,200y/183m- under power,Within 200m/yds,06.2,killer whale - southern resident,SR- oror (SR),
5031,6/21/2012,15:00,James Pt. 1/2mi. E,155,48 47.810,123 20.032,48.79683336,-123.3338667,private motor,PM,200y/183m- under power,Within 200m/yds,06.2,killer whale - southern resident,SR- oror (SR),
5031,6/21/2012,15:00,James Pt. 1/2mi. E,155,48 47.810,123 20.032,48.79683336,-123.3338667,private motor,PM,In path 200-400 yds,In Path,03.1A,killer whale - southern resident,SR- oror (SR),
5031,6/21/2012,15:00,James Pt. 1/2mi. E,155,48 47.810,123 20.032,48.79683336,-123.3338667,private motor,PM,vessel within 100m - stopped,Within 100 m/yds,05.1,killer whale - southern resident,SR- oror (SR),
5048,6/23/2012,14:30,Eagle Pt. 1.5mi SW,185,48 00.000,123 03.431,48,-123.0571833,ecotour US,EU,In path 200-400 yds,In Path,03.1A,killer whale - southern resident,SR- oror (SR),
5041,6/23/2012,14:00,Eagle Pt. 1.5mi SW,184,48 27.682,123 04.298,48.46136665,-123.0716333,ecotour CDN,EC,area restriction - SJIVNBZ (1/4mi),Area Restriction,40.1,killer whale - southern resident,SR- oror (SR),
5042,6/23/2012,14:00,Eagle Pt. 1.5mi SW,184,48 27.682,123 04.298,48.46136665,-123.0716333,ecotour CDN,EC,area restriction - SJIVNBZ (1/4mi),Area Restriction,40.1,killer whale - southern resident,SR- oror (SR),
5043,6/23/2012,14:00,Eagle Pt. 1.5mi SW,184,48 27.682,123 04.298,48.46136665,-123.0716333,private motor,PM,vessel within 100m - stopped,Within 100 m/yds,05.1,killer whale - southern resident,SR- oror (SR),
5043,6/23/2012,14:00,Eagle Pt. 1.5mi SW,184,48 27.682,123 04.298,48.46136665,-123.0716333,private motor,PM,non-compliant approach from behind,Approach,04.2,killer whale - southern resident,SR- oror (SR),
5043,6/23/2012,14:00,Eagle Pt. 1.5mi SW,184,48 27.682,123 04.298,48.46136665,-123.0716333,private motor,PM,200y/183m- stopped,Within 200m/yds,06.1,killer whale - southern resident,SR- oror (SR),
5043,6/23/2012,14:00,Eagle Pt. 1.5mi SW,184,48 27.682,123 04.298,48.46136665,-123.0716333,private motor,PM,area restriction - SJIVNBZ (1/4mi),Area Restriction,40.1,killer whale - southern resident,SR- oror (SR),
5043,6/23/2012,14:00,Eagle Pt. 1.5mi SW,184,48 27.682,123 04.298,48.46136665,-123.0716333,private motor,PM,200y/183m- under power,Within 200m/yds,06.2,killer whale - southern resident,SR- oror (SR),
5044,6/23/2012,14:00,Eagle Pt. 1.5mi SW,184,48 27.682,123 04.298,48.46136665,-123.0716333,marine monitoring,MM,area restriction - SJIVNBZ (1/4mi),Area Restriction,40.1,killer whale - southern resident,SR- oror (SR),
5045,6/23/2012,14:00,Eagle Pt. 1.5mi SW,184,48 27.682,123 04.298,48.46136665,-123.0716333,marine monitoring,MM,200y/183m- under power,Within 200m/yds,06.2,killer whale - southern resident,SR- oror (SR),
5046,6/23/2012,14:00,Eagle Pt. 1.5mi SW,184,48 27.682,123 04.298,48.46136665,-123.0716333,ecotour US,EU,In path 200-400 yds,In Path,03.1A,killer whale - southern resident,SR- oror (SR),
5046,6/23/2012,14:00,Eagle Pt. 1.5mi SW,184,48 27.682,123 04.298,48.46136665,-123.0716333,ecotour US,EU,vessel within 100m - stopped,Within 100 m/yds,05.1,killer whale - southern resident,SR- oror (SR),
5047,6/23/2012,14:00,Eagle Pt. 1.5mi SW,184,48 27.682,123 04.298,48.46136665,-123.0716333,ecotour US,EU,vessel within 100m - stopped,Within 100 m/yds,05.1,killer whale - southern resident,SR- oror (SR),
5047,6/23/2012,14:00,Eagle Pt. 1.5mi SW,184,48 27.682,123 04.298,48.46136665,-123.0716333,ecotour US,EU,200y/183m- stopped,Within 200m/yds,06.1,killer whale - southern resident,SR- oror (SR),
5047,6/23/2012,14:00,Eagle Pt. 1.5mi SW,184,48 27.682,123 04.298,48.46136665,-123.0716333,ecotour US,EU,area restriction - SJIVNBZ (1/4mi),Area Restriction,40.1,killer whale - southern resident,SR- oror (SR),
5049,6/23/2012,15:00,Pile Pt. .5mi. S,185,48 28.497,123 05.529,48.47495,-123.09215,ecotour CDN,EC,200y/183m- stopped,Within 200m/yds,06.1,killer whale - southern resident,SR- oror (SR),
5049,6/23/2012,15:00,Pile Pt. .5mi. S,185,48 28.497,123 05.529,48.47495,-123.09215,ecotour CDN,EC,In path 200-400 yds,In Path,03.1A,killer whale - southern resident,SR- oror (SR),
5050,6/23/2012,15:00,Pile Pt. .5mi. S,185,48 28.497,123 05.529,48.47495,-123.09215,ecotour CDN,EC,In path 200-400 yds,In Path,03.1A,killer whale - southern resident,SR- oror (SR),
5051,6/23/2012,15:00,Pile Pt. .5mi. S,185,48 28.497,123 05.529,48.47495,-123.09215,ecotour CDN,EC,In path 200-400 yds,In Path,03.1A,killer whale - southern resident,SR- oror (SR),
5051,6/23/2012,15:00,Pile Pt. .5mi. S,185,48 28.497,123 05.529,48.47495,-123.09215,ecotour CDN,EC,vessel within 100m - stopped,Within 100 m/yds,05.1,killer whale - southern resident,SR- oror (SR),
5038,6/23/2012,13:00,Pile Pt. .5mi. S,184,48 28.507,123 06.256,48.47511667,-123.1042667,marine monitoring,MM,In path 200-400 yds,In Path,03.1A,killer whale - southern resident,SR- oror (SR),
5038,6/23/2012,13:00,Pile Pt. .5mi. S,184,48 28.507,123 06.256,48.47511667,-123.1042667,marine monitoring,MM,200y/183m- stopped,Within 200m/yds,06.1,killer whale - southern resident,SR- oror (SR),
5032,6/23/2012,11:00,Cattle Pt. 1.8mi. W,186,48 25.348,123 58.293,48.42246666,-123.97155,ecotour CDN,EC,speed > 7knts w/in 400m (coming on scene),Speed,02.1,killer whale - southern resident,SR- oror (SR),
5032,6/23/2012,11:00,Cattle Pt. 1.8mi. W,186,48 25.348,123 58.293,48.42246666,-123.97155,ecotour CDN,EC,vessel crossed the path of whales,In Path,03.3,killer whale - southern resident,SR- oror (SR),
5033,6/23/2012,11:00,Cattle Pt. 1.8mi. W,186,48 25.348,123 58.293,48.42246666,-123.97155,ecotour CDN,EC,In path 200-400 yds,In Path,03.1A,killer whale - southern resident,SR- oror (SR),
5033,6/23/2012,11:00,Cattle Pt. 1.8mi. W,186,48 25.348,123 58.293,48.42246666,-123.97155,ecotour CDN,EC,speed > 7knts w/in 400m (coming on scene),Speed,02.1,killer whale - southern resident,SR- oror (SR),
5033,6/23/2012,11:00,Cattle Pt. 1.8mi. W,186,48 25.348,123 58.293,48.42246666,-123.97155,ecotour CDN,EC,non-compliant approach - head on,Approach,04.1,killer whale - southern resident,SR- oror (SR),
5034,6/23/2012,11:00,Cattle Pt. 1.8mi. W,186,48 25.348,123 58.293,48.42246666,-123.97155,ecotour CDN,EC,In path 200-400 yds,In Path,03.1A,killer whale - southern resident,SR- oror (SR),
5034,6/23/2012,11:00,Cattle Pt. 1.8mi. W,186,48 25.348,123 58.293,48.42246666,-123.97155,ecotour CDN,EC,vessel inshore of whales,Inshore,07.0,killer whale - southern resident,SR- oror (SR),
5035,6/23/2012,11:00,Cattle Pt. 1.8mi. W,186,48 25.348,123 58.293,48.42246666,-123.97155,ecotour CDN,EC,vessel inshore of whales,Inshore,07.0,killer whale - southern resident,SR- oror (SR),
