start,end,today,Lat_A,Lat_edit,Longitude,Longitude,datetime,Location,direction,distance,quad_number,vessel,action,incidents,ODK conversion,select_previous,select_photo,Comments,meta:instanceID
Thu Aug 25 20:18:55 UTC 2016,Thu Aug 25 20:19:51 UTC 2016,Thu Aug 25 00:00:00 UTC 2016,48.493075,48.493075,-123.1378083,-123.1378083,Thu Aug 25 20:19:00 UTC 2016,Edwards,W,0.25,181,CA,T,aircraft_under1000ft,aircraft under1000ft,contact_no,photo_n,,uuid:b96b641b-789e-4831-8f10-3a4b5e6c7b84
Tue Jul 12 21:39:55 UTC 2016,Tue Jul 12 21:41:01 UTC 2016,Tue Jul 12 00:00:00 UTC 2016,48.48707667,48.48707667,-123.1237133,-123.1237133,Tue Jul 12 21:40:00 UTC 2016,Hannah heights,W,0.25,181,CA,WO,aircraft_under1000ft,aircraft under1000ft,contact_no,photo_n,,uuid:ebdbbe84-ab79-46cf-b117-71c545475bc5
Tue Jul 12 23:41:29 UTC 2016,Tue Jul 12 23:42:44 UTC 2016,Tue Jul 12 00:00:00 UTC 2016,48.48584333,48.48584333,-123.125255,-123.125255,Tue Jul 12 23:41:00 UTC 2016,Hannah heights,W,0.5,181,CA,WO,aircraft_under1000ft,aircraft under1000ft,contact_no,photo_n,,uuid:29661057-1f2c-40fd-8264-769b7cb2e902
Fri Aug 05 18:40:52 UTC 2016,Fri Aug 05 18:42:06 UTC 2016,Fri Aug 05 00:00:00 UTC 2016,48.81819333,48.81819333,-122.95708,-122.95708,Fri Aug 05 18:40:00 UTC 2016,Patos,NW,1.75,142,EC,WO,200_yards_under_power,200 yards under power,contact_no,photo_n,,uuid:65536b51-a410-4212-a473-fc3ed1557ca3
Fri Aug 05 18:40:52 UTC 2016,Fri Aug 05 18:42:06 UTC 2016,Fri Aug 05 00:00:00 UTC 2016,48.81819333,48.81819333,-122.95708,-122.95708,Fri Aug 05 18:40:00 UTC 2016,Patos,NW,1.75,142,EC,WO,400yd_inthepath,400yd inthepath,contact_no,photo_n,,uuid:65536b51-a410-4212-a473-fc3ed1557ca3
Fri Aug 05 18:40:52 UTC 2016,Fri Aug 05 18:42:06 UTC 2016,Fri Aug 05 00:00:00 UTC 2016,48.81819333,48.81819333,-122.95708,-122.95708,Fri Aug 05 18:40:00 UTC 2016,Patos,NW,1.75,142,EC,WO,shutdown_within100yds,shutdown within100yds,contact_no,photo_n,,uuid:65536b51-a410-4212-a473-fc3ed1557ca3
Fri Aug 05 18:49:50 UTC 2016,Fri Aug 05 18:50:29 UTC 2016,Fri Aug 05 00:00:00 UTC 2016,48.81712167,48.81712167,-122.9543217,-122.9543217,Fri Aug 05 18:49:00 UTC 2016,Patos,NW,1.75,142,EC,WO,400yd_inthepath ,400yd inthepath ,contact_no,photo_n,,uuid:200374e2-8042-4a9e-bfe6-1bcb442d4345
Fri Aug 05 18:49:50 UTC 2016,Fri Aug 05 18:50:29 UTC 2016,Fri Aug 05 00:00:00 UTC 2016,48.81712167,48.81712167,-122.9543217,-122.9543217,Fri Aug 05 18:49:00 UTC 2016,Patos,NW,1.75,142,EC,WO,shutdown_within100yds,shutdown within100yds,contact_no,photo_n,,uuid:200374e2-8042-4a9e-bfe6-1bcb442d4345
Fri Aug 05 19:06:10 UTC 2016,Fri Aug 05 19:06:49 UTC 2016,Fri Aug 05 00:00:00 UTC 2016,48.80100833,48.80100833,-122.9740283,-122.9740283,Fri Aug 05 19:06:00 UTC 2016,Patos,NW,0,142,EC,WO,inshore_of_whales,inshore of whales,contact_no,photo_n,,uuid:ab513f32-b87f-4f25-9cf3-42edcb8c42d2
Fri Aug 05 19:07:27 UTC 2016,Fri Aug 05 19:08:12 UTC 2016,Fri Aug 05 00:00:00 UTC 2016,48.79955833,48.79955833,-122.9760367,-122.9760367,Fri Aug 05 19:07:00 UTC 2016,Patos,W,0.25,142,EC,WO,400yd_inthepath ,400yd inthepath ,contact_no,photo_n,,uuid:c62f00a4-466c-4973-8369-5f940daf6cb2
