Day,Date,Year,Time UTC,Time PST,Latitude,Longitude,Latitude,Longitude,Accuracy,Location,select_direction,select_distance,quad_number,vessel,action,kayak_num,incidents,ODK conversion,select_previous,select_photo,whaleinfoYN,SPP data,whaleinfoY_whaleID,whaleinfoY_Idphoto,whaleinfoY_behavior,whaleinfoY_behaviorchange,Initials,Comments
Wed,31-May,2017,20:20:36,13:20:36,48.56831833,-123.1893733,"48° 34' 05.94"" N","123° 11' 21.74"" W",4.6,Mitchell bay,W,0,176,MM,WO,,shutdown_within100yds,shutdown within100yds,contact_no,photo_y,,SRKW,J pod,photo_n,,,,SW
Wed,31-May,2017,20:37:38,13:37:38,48.56216833,-123.1879683,"48° 33' 43.80"" N","123° 11' 16.68"" W",4.8,Mitchell bay,W,0.25,176,EC,WO,,200_yards_under_power,200 yards under power,contact_no,photo_n,,SRKW,J pod,photo_n,,,,Whales approached him
Wed,31-May,2017,20:53:40,13:53:40,48.560805,-123.179905,"48° 33' 38.89"" N","123° 10' 47.65"" W",5,Mitchell bay,W,0.5,176,EU,WO,,100_yards_under_power,100 yards under power,contact_no,photo_n,,SRKW,J pod,photo_n,,,,Sea lion whales approached
Wed,31-May,2017,18:50:26,11:50:26,48.52020333,-123.16681,"48° 31' 12.73"" N","123° 10' 00.51"" W",4.6,Lime kiln,N,1.5,176,EU,WO,,shutdown_within100yds,shutdown within100yds,contact_no,photo_n,,SRKW,,photo_n,,,,Island explorer 3 whales approached them
Wed,31-May,2017,18:59:37,11:59:37,48.52722333,-123.1707967,"48° 31' 38.00"" N","123° 10' 14.86"" W",4.7,Lime kiln,N,2.25,176,PM,WO,,100_yards_under_power,100 yards under power,contact_no,photo_y,,SRKW,,photo_n,,,,"Snow Bored, island explorer 5 made radio contact, photo on android 2"
Wed,31-May,2017,19:32:38,12:32:38,48.54581167,-123.1729267,"48° 32' 44.92"" N","123° 10' 22.53"" W",4.9,Andrews bay,W,0.25,176,EK,WO,3,inshore_of_whales,inshore of whales,contact_no,photo_n,,SRKW,,photo_n,,,,Kayaks within 200 yards
Wed,31-May,2017,20:38:25,13:38:25,48.56162167,-123.187355,"48° 33' 41.83"" N","123° 11' 14.47"" W",4.9,Mitchell bay,W,0.5,176,EU,WO,,200_yards_under_power,200 yards under power,contact_no,photo_n,,SRKW,J pod,photo_n,,,,Odyssey whales approached them
Wed,31-May,2017,20:45:47,13:45:47,48.56068333,-123.18297,"48° 33' 38.45"" N","123° 10' 58.69"" W",5,Mitchell bay,W,0.25,176,R,R,,travel_behind100_400yds,travel behind100 400yds,contact_no,photo_n,,SRKW,J pod,photo_n,,,,Whales approached them
Wed,31-May,2017,22:29:51,15:29:51,48.5843,-123.2112483,"48° 35' 03.47"" N","123° 12' 40.49"" W",4.7,Kellet bluff,S,0.5,176,PM,WO,,200_yards_under_power,200 yards under power,contact_no,photo_y,,SRKW,J pod,photo_n,,,,Wasko ranger
Thu,1-Jun,2017,22:37:39,15:37:39,48.51107,-123.1836417,"48° 30' 39.85"" N","123° 11' 01.11"" W",4.8,Lime kiln,W,2,176,EC,WO,,shutdown_within200yds,shutdown within200yds,contact_no,photo_n,,SRKW,,photo_n,,,,"Whales approached them, spring Tide"
