start,end,today,geopoint_test:Latitude,geopoint_test:Longitude,geopoint_test:Altitude,geopoint_test:Accuracy,datetime_test,vessel,action,kayak_num,incidents,ODK conversion,select_photo,whaleinfo:whaleinfoYN,whaleinfo:whaleinfoY:whaleID,whaleinfo:whaleinfoY:Idphoto,whaleinfo:whaleinfoY:behavior,whaleinfo:whaleinfoY:behaviorchange,vesselwhaleflag,num_VWF,kayaklandflag,Initials,Comments,meta:instanceID
Thu Jun 28 20:05:29 UTC 2018,Thu Jun 28 20:09:05 UTC 2018,Thu Jun 28 00:00:00 UTC 2018,49.0190017,-123.2345317,-8.699999809,10,Thu Jun 28 20:05:00 UTC 2018,PM,WO,,100_yards_under_power,100 yards under power,photo_y,info_yes,J pod,photo_y,behavior_y,Changed direction and speed to avoid vessel,vwf_n,1,klf_n,LMY,,uuid:4f83d1cb-23f2-41b1-809f-d966cdc98fe3
Thu Jul 12 18:37:47 UTC 2018,Thu Jul 12 18:39:40 UTC 2018,Thu Jul 12 00:00:00 UTC 2018,48.4607661,-123.097326,-4.599999905,10,Thu Jul 12 18:37:00 UTC 2018,PM,WO,,400yd_inthepath,400yd inthepath,photo_n,info_yes,Know that it is residents but not which pod,photo_n,behavior_n,,vwf_n,1,,DKA,,uuid:0e1a9e60-027e-4507-adcd-d7c52c50cd39
Thu Jul 12 20:06:33 UTC 2018,Thu Jul 12 20:07:36 UTC 2018,Thu Jul 12 00:00:00 UTC 2018,48.4622874,-123.086542,-9,10,Thu Jul 12 20:06:00 UTC 2018,PM,T,,high_speed_within_400,high speed within 400,photo_n,info_yes,Resident pods,photo_n,behavior_n,,vwf_n,1,klf_n,DKA,,uuid:7c6a0508-239b-4d5c-a827-3ea6a2efaccd
Thu Jul 12 20:11:07 UTC 2018,Thu Jul 12 20:12:55 UTC 2018,Thu Jul 12 00:00:00 UTC 2018,48.4610708,-123.0882279,-9,10,Thu Jul 12 20:11:00 UTC 2018,PM,WO,,400yd_inthepath shutdown_within200yds,400yd inthepath,photo_n,info_yes,Resident pods,photo_n,behavior_n,,vwf_n,1,klf_n,DKA,Boat had plenty of time to move out of the way but didn't,uuid:b3518df8-9705-4e6e-958d-ead051cd707f
,,,,,,,,,,,,shutdown within200yds,,,,,,,,,,,,
Thu Jul 12 21:54:38 UTC 2018,Thu Jul 12 21:57:17 UTC 2018,Thu Jul 12 00:00:00 UTC 2018,48.4907674,-122.9564425,-9.100000382,10,Thu Jul 12 21:54:00 UTC 2018,PM,T,,high_speed_within_400 Fast_withinquartermile_whales fast_departurewithin400yds,high speed within 400,photo_n,info_yes,"J27, k16",photo_n,behavior_unk,,vwf_n,1,,DKA,,uuid:4fcae811-adb8-4f02-9803-b1601f80be61
,,,,,,,,,,,,Fast withinquartermile whales,,,,,,,,,,,,
,,,,,,,,,,,,fast departurewithin400yds,,,,,,,,,,,,
Thu Jul 12 23:29:37 UTC 2018,Thu Jul 12 23:31:07 UTC 2018,Thu Jul 12 00:00:00 UTC 2018,48.5687733,-123.0140701,-9.100000382,10,Thu Jul 12 23:29:00 UTC 2018,PM,T,,high_speed_within_400 Fast_withinquartermile_whales fast_departurewithin400yds,high speed within 400,photo_n,info_yes,"J, k pods",photo_n,behavior_n,,vwf_n,1,,DKA,,uuid:a9169e37-0963-4faa-ae47-1a777e486d12
,,,,,,,,,,,,Fast withinquartermile whales,,,,,,,,,,,,
,,,,,,,,,,,,fast departurewithin400yds,,,,,,,,,,,,
Fri Jul 13 18:38:52 UTC 2018,Fri Jul 13 18:45:44 UTC 2018,Fri Jul 13 00:00:00 UTC 2018,48.52367,-123.1652583,18,10,Fri Jul 13 18:40:00 UTC 2018,PM,T,,200_yards_under_power no_go_zone withinhalfmile_Limekiln,200 yards under power,photo_y,info_yes,J16,photo_n,behavior_n,,vwf_n,1,,LMY,,uuid:4cae89b1-2c84-43dc-88e4-c5c2bda415aa
,,,,,,,,,,,,no go zone,,,,,,,,,,,,
,,,,,,,,,,,,withinhalfmile Limekiln,,,,,,,,,,,,
Fri Jul 13 19:07:27 UTC 2018,Fri Jul 13 19:08:43 UTC 2018,Fri Jul 13 00:00:00 UTC 2018,48.4865617,-123.1304983,2.3,10,Fri Jul 13 19:07:00 UTC 2018,PM,WO,,shutdown_within200yds,shutdown within200yds,photo_n,info_yes,J16,photo_n,behavior_unk,,vwf_n,1,,LMY,Possible film crew?,uuid:dcc14551-3424-4c1c-ab31-8d49256999b1
Fri Jul 13 20:22:17 UTC 2018,Fri Jul 13 20:23:12 UTC 2018,Fri Jul 13 00:00:00 UTC 2018,48.4585067,-123.0454267,0.4,10,Fri Jul 13 20:22:00 UTC 2018,PM,WO,,200_yards_under_power,200 yards under power,photo_y,info_yes,J16,photo_n,behavior_unk,,vwf_n,2,,LMY,,uuid:c0c8999f-c73d-4950-a038-953b403b73fe
