start,end,today,geopoint_test:Latitude,geopoint_test:Longitude,geopoint_test:Altitude,geopoint_test:Accuracy,datetime_test,select_soundwatchvessel,Boat_Driver,vessel,action,kayak_num,incidents,ODK conversion,select_previous,select_photo,select_whaleinfo,whaleinformation,select_behavior,changeinbehavior,select_wwf,vesselswwf,select_kayakwwf,Comments,initials,meta:instanceID
Fri Jul 05 17:30:46 UTC 2019,Fri Jul 05 17:31:53 UTC 2019,Fri Jul 05 00:00:00 UTC 2019,48.46392667,-123.1048783,-9.5,4,Fri Jul 05 17:30:00 UTC 2019,Raydiance,Taypor,PS,T,,400yd_inthepath no_go_zone,400yd inthepath,contact_no,photo_y,whaleinfo_y,J k l12,behavior_n,,wwf_n,1,kayakwwf_n,,Kw,uuid:13cc9357-60e9-49c6-8947-5403471ee333
,,,,,,,,,,,,,,no go zone,,,,,,,,,,,,
Fri Jul 05 17:43:54 UTC 2019,Fri Jul 05 17:45:24 UTC 2019,Fri Jul 05 00:00:00 UTC 2019,48.46414333,-123.0798983,-8.399999619,3.9,Fri Jul 05 17:43:00 UTC 2019,Raydiance,Taylir,PM,T,,high_speed_within_1km withinhalfmile_Limekiln,high speed within 1km,contact_no,photo_n,whaleinfo_y,J k l12,behavior_n,,wwf_n,2,,,Kw,uuid:ff11ee41-14b7-4255-a6f7-3dfa9c0921a3
,,,,,,,,,,,,,,withinhalfmile Limekiln,,,,,,,,,,,,
Fri Jul 05 18:04:22 UTC 2019,Fri Jul 05 18:06:15 UTC 2019,Fri Jul 05 00:00:00 UTC 2019,48.45335667,-123.03986,-8,3.9,Fri Jul 05 18:04:00 UTC 2019,Raydiance,Taylor,PM,T,,inshore_of_whales high_speed_within_1km 200_yards_under_power 100_yards_under_power 300_yards_under_power no_go_zone,inshore of whales,contact_no,photo_y,whaleinfo_y,"J56, some Js and ls",behavior_unk,,wwf_n,1,,,Ec,uuid:06db40c3-5592-48e5-9a6e-c7780e10c1c4
,,,,,,,,,,,,,,high speed within 1km,,,,,,,,,,,,
,,,,,,,,,,,,,,200 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,100 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,300 yards under power,,,,,,,,,,,,
,,,,,,,,,,,,,,no go zone,,,,,,,,,,,,
