Day,Date,UTC,PST,Lat,Long,geopoint_test:Accuracy,select_country,select_soundwatchvessel,Boat_Driver,vessel,action,kayak_num,incidents,,select_previous,select_photo,photo_number,select_whaleinfo,species,select_pod,whaleinformation,select_behavior,changeinbehavior,select_wwf,vesselswwf,select_kayakwwf,sentinel,Comments,initials
Thu,1-Jul,19:23:21,12:23:21,48.4135,-122.68365,,USA,Luna,Alanna,PM,T,0,high_speed_within_1km,high speed within 1km,contact_no,photo_n,,whaleinfo_y,SRKWs,K,,,,,,,,,Cl
Thu,1-Jul,19:27:45,12:27:45,48.4135,-122.68365,,USA,Luna,Alanna,PM,T,0,,,,,,whaleinfo_y,SRKWs,K,,,,,,,,"48.41350, 122.68365",Cl
Thu,1-Jul,19:35:12,12:35:12,48.40512,-122.68061,,USA,Luna,Alanna,PM,T,0,high_speed_within_1km,high speed within 1km,,photo_n,,whaleinfo_y,SRKWs,K,,behavior_unk,,,1,,Research_Monitoring,"Did not slow down at our attempt to hail them

48.40639, 122.67900",Cl
Thu,1-Jul,19:37:53,12:37:53,48.40512,-122.68061,,USA,Luna,Alanna,PM,T,0,high_speed_within_1km,high speed within 1km,contact_no,photo_n,,whaleinfo_y,SRKWs,K,,,,,1,,Research_Monitoring,"48.40512, 122.68061",Cl
Thu,1-Jul,19:39:26,12:39:26,48.40277,-122.68111,,USA,Luna,Alanna,PM,T,0,high_speed_within_1km,high speed within 1km,contact_no,photo_n,,whaleinfo_y,SRKWs,K,,behavior_unk,,,1,,Research_Monitoring,"48.40277, 122.68111",Cl
Thu,1-Jul,20:51:40,13:51:40,48.39677,-122.83999,,USA,Luna,Alanna,PM,F,0,100_yards_under_power 200_yards_under_power 300_yards_under_power fishing_within100yds fishing_within200yds,100 yards under power 200 yards under power 300 yards under power fishing within100yds fishing within200yds,contact_no,photo_n,,whaleinfo_y,SRKWs,K,,behavior_n,,,1,,Research_Monitoring,"48.39677, 122.83999",CL
Thu,1-Jul,21:04:26,14:04:26,48.41523,-122.8793,,USA,Luna,Alanna,PM,T,0,high_speed_within_1km inshore_of_whales,high speed within 1km inshore of whales,contact_no,photo_n,,whaleinfo_y,SRKWs,K,,behavior_unk,,,2,,Research_Monitoring Recreational,Straitwatch attempted and other rec boat,CL
Thu,1-Jul,21:14:33,14:14:33,48.41523,-122.8793,,USA,Luna,Alanna,PM,T,0,high_speed_within_1km,high speed within 1km,contact_yes,photo_n,,whaleinfo_y,SRKWs,K,,behavior_unk,,,1,,Research_Monitoring,"48.41523, 122.87930",Cl
Thu,1-Jul,21:19:45,14:19:45,48.41523,-122.8793,,USA,Luna,Alanna,PM,T,0,high_speed_within_1km inshore_of_whales,high speed within 1km inshore of whales,contact_yes,photo_n,,whaleinfo_y,SRKWs,K,,,,,1,,Research_Monitoring,"WN1880NX

48.41507, 122.88094",Cl
Wed,1-Sep,,11:26:00,48.9964719,-123.220816,4.76,Canda,Luna,Alanna,MF,T,0,300_yards_under_power,300 yards under power,contact_no,photo_y,100-2598-100-2600,whaleinfo_y,SRKWs,J,J pod plus unknown,behavior_unk, ,wwf_n,2, ,Research_Monitoring, ,MAS
Wed,1-Sep,,11:30:00,48.9993925,-123.224271,8.54,Canda,Luna,Alanna,PM,T,0,high_speed_within_1km,high speed within 1km, ,photo_y,100-2607-100-2608,whaleinfo_y,SRKWs,J,J pod plus unknown,behavior_unk, ,wwf_n,2, ,Research_Monitoring,Next rec,MAS
Wed,1-Sep,,12:11:00,49.015045,-123.2360183,9.5,USA,Luna,Alanna,EU,WO,0,"cwwlp_withinhalfmile_time, 400yd_inthepath","cwwlp withinhalfmile time, 400yd inthepath",contact_yes,photo_y,100-2831 - 100-2837,whaleinfo_y,SRKWs,"J, L", ,behavior_unk, ,wwf_y,2, ,Research_Monitoring,Blackfish boat. Not AV status. Need to look into this loophole,CL
Wed,1-Sep,,13:19:00,48.9739571,-123.1695262,9.7,USA,Luna,Alanna, ,T,0,"high_speed_within_1km, 400yd_inthepath","high speed within 1km, 400yd inthepath",contact_no,photo_y,Moja has photos,whaleinfo_y,SRKWs,"J, L",J pod and L54s,behavior_unk, ,wwf_n,3, , ,BC Ferry Spirit of Vancouver Island; attempted contact but didn't answer; Moja took photos,MAS
Wed,1-Sep,,14:12:00,48.9523707,-123.1240389,8.5,USA,Luna,Alanna,EU,WO,0,cwwlp_withinhalfmile_time,cwwlp withinhalfmile time,contact_no,photo_y,100-2853-100-2057,whaleinfo_y,SRKWs,"J, L", ,behavior_unk, , ,3, , ,J1 Boat; photo range from Canada and send to Straitwatch,MAS
Fri,3-Sep,,13:57:00,49.0217767,-123.216035,13.6,Canda,Luna,Alanna,PM,T,0,"inshore_of_whales, high_speed_within_1km, 200_yards_under_power, 100_yards_under_power, 300_yards_under_power, 400yd_inthepath, shutdown_within100yds, shutdown_within200yds, fast_departurewithin400yds, travel_behind100_400yds, incorrectfast_approach","inshore of whales, high speed within 1km, 200 yards under power, 100 yards under power, 300 yards under power, 400yd inthepath, shutdown within100yds, shutdown within200yds, fast departurewithin400yds, travel behind100 400yds, incorrectfast approach",contact_no,photo_y,100-3357 -,whaleinfo_y,SRKWs,J, ,behavior_y,Longer dives, ,1, ,Research_Monitoring,"Tried to contact via radio and chased on plane, captain waved us away and kept his trajectory and high speed",CL
Fri,3-Sep,,14:16:00,49.014167,-123.1995991,8.6,Canda,Luna,Alanna,PM,T,0,high_speed_within_1km,high speed within 1km,contact_no,photo_n, ,whaleinfo_y,SRKWs,J, ,behavior_unk, ,wwf_n,2, ,Research_Monitoring,Same boat as last incident,MAS
