data-start,time,data-today,latitude,longitude,data-geopoint_test-altitude,data-geopoint_test-accuracy,data-select_country,data-datetime_test,data-select_soundwatchvessel,data-Boat_Driver,data-vessel,data-action,data-kayak_num,data-incidents,,data-select_previous,data-photos,data-photo_number,data-select_whaleinfo,data-species,data-select_pod,data-whaleinformation,data-select_behavior,data-changeinbehavior,data-select_wwf,data-vesselswwf,data-select_kayakwwf,data-sentinel,data-Comments,data-initials,data-meta-instanceID
5/24/2022,13:10,24/05/22,48.9443524,-123.0794364,-15.44542461,4.999,USA,24/05/22 13:10,Raydiance,Alanna,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,,whaleinfo_n,SRKWs,J,,behavior_y,Dive pattern changed,wwf_n,,,Research_Monitoring,,CBM,uuid:27162a31-31cc-4035-9c13-ccf555ff3c68
5/24/2022,13:13,24/05/22,48.939232,-123.0853975,-15.58941455,4.861,USA,24/05/22 13:14,Raydiance,Alanna,PS,WO,,"high_speed_within_1km, travel_behind100_400yds","high speed within 1km, travel behind100 400yds",contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_y,Change of direction,wwf_n,,kayakwwf_n,Research_Monitoring,Chased down whales,CBM,uuid:4f0ddb45-b98b-4581-8a67-b856895f5aea
5/26/2022,11:03,26/05/22,48.5641837,-123.1868307,-11.84100229,5.527,USA,26/05/22 11:04,Raydiance,Ciera,CA,T,,aircraft_under1000ft,aircraft under1000ft,contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,1,,,,MMS,uuid:3aff37bd-2f4f-4353-9255-d0be0ed6f273
5/26/2022,11:10,26/05/22,48.567773,-123.1901378,-11.49554729,9.648,USA,26/05/22 11:10,Raydiance,Cierra,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,1,kayakwwf_n,,,MMS,uuid:28d7da50-c164-435f-a862-c4712dbc1c75
5/26/2022,11:19,26/05/22,48.5714783,-123.1934707,-9.889871274,4.914,USA,26/05/22 11:20,Raydiance,Ciera,CA,T,,aircraft_under1000ft,aircraft under1000ft,contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,1,,,,MMS,uuid:df2f2b01-4e97-4509-8ba4-f5e1a7ce8c59
5/26/2022,11:39,26/05/22,48.5831217,-123.2051616,-13.21915187,7.38,USA,26/05/22 11:40,Raydiance,Ciera,PM,T,,high_speed_within_1km,high speed within 1km,contact_yes,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,1,kayakwwf_n,Research_Monitoring,,Mms,uuid:ecde12a7-2e7b-425d-8f83-e7e796e9ce4a
5/26/2022,12:01,26/05/22,48.5799549,-123.200332,-14.59586494,8.18,USA,26/05/22 12:01,Raydiance,Ciera,PM,T,,"high_speed_within_1km, 400yd_inthepath","high speed within 1km, 400yd inthepath",contact_no,photo_n,,whaleinfo_n,SRKWs,J,,behavior_y,Dive pattern change; longer dive,wwf_n,1,,Research_Monitoring,,Mms,uuid:40205971-a2df-429b-ae78-3702eefd28f5
5/26/2022,13:10,26/05/22,48.6346002,-123.2076732,-15.86069548,9.658,USA,26/05/22 13:10,Raydiance,Ciera,PM,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,1,,Research_Monitoring,,Mms,uuid:8f0fb40d-d71c-4eb7-bbd8-600ec68f0ff5
5/26/2022,13:11,26/05/22,48.6359954,-123.2074195,-14.68349497,6.764,USA,26/05/22 13:12,Raydiance,Ciera,GC,T,,high_speed_within_1km,high speed within 1km,contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,1,,Research_Monitoring,Us border security,Mms,uuid:7adbac87-9d9a-419c-9d9b-5f76c5946ce2
5/26/2022,14:28,26/05/22,48.7176858,-123.2375415,-9.933020266,5.237,Canda,26/05/22 14:29,Raydiance,Ciera,PM,T,,"high_speed_within_1km, inshore_of_whales, no_go_zone","high speed within 1km, inshore of whales, no go zone",contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,2,,Research_Monitoring,In Pender sanctuary zon,Mms,uuid:8c58e1df-b567-4a67-8d9c-81b6c9429d74
5/27/2022,12:19,27/05/22,48.7570966,-123.0742882,-18.02717212,11.806,Canda,27/05/22 12:20,Raydiance,Jess,PM,T,,"high_speed_within_1km, inshore_of_whales","high speed within 1km, inshore of whales",contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,1,,,In path,Mms,uuid:b605ea53-8c8b-4f61-8062-fbe05ee8c7dd
5/27/2022,12:25,27/05/22,48.7575513,-123.0761096,-18.40737575,8.638,Canda,27/05/22 12:25,Raydiance,Jess,PM,T,,"high_speed_within_1km, 100_yards_under_power, shutdown_within100yds","high speed within 1km, 100 yards under power, shutdown within100yds",contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,1,,,Within saturna sanctuary zone,Mms,uuid:8ea91890-572a-479d-b800-c7d0cd8da5d3
5/27/2022,13:47,27/05/22,48.6920747,-123.2396987,-19.26879121,7.498,USA,27/05/22 13:47,Raydiance,Jess,PM,T,,"high_speed_within_1km, 400yd_inthepath, 300_yards_under_power","high speed within 1km, 400yd inthepath, 300 yards under power",contact_no,photo_n,,whaleinfo_y,SRKWs,J,,,,,1,,Research_Monitoring,,MMS,uuid:90f35230-8391-4598-9c18-1065359a359d
5/27/2022,14:46,27/05/22,48.6673423,-123.2275888,56.90000153,8.769,USA,27/05/22 14:46,Raydiance,Jess,PM,WO,,shutdown_within200yds,shutdown within200yds,contact_no,photo_n,,whaleinfo_y,SRKWs,J,,,,wwf_n,1,,Research_Monitoring,,Mms,uuid:be1850ce-1c3d-444f-88dc-d92ac6355966
5/27/2022,14:50,27/05/22,48.6664608,-123.2265191,56.90000153,5.058,USA,27/05/22 14:51,Raydiance,Jess,PM,WO,,300_yards_under_power,300 yards under power,contact_no,photo_n,,whaleinfo_y,SRKWs,J,,behavior_n,,wwf_n,1,,Research_Monitoring,Shutdown,Mms,uuid:414634a4-a570-4f21-a8f3-95c27de906bb
