"","date","year","fishery_status","orcas_sighted"
"1","1-Jul",2021,"open","yes"
"2","2-Jul",2021,"open","yes"
"3","3-Jul",2021,"open","no"
"4","4-Jul",2021,"open","no"
"5","5-Jul",2021,"open","no"
"6","6-Jul",2021,"open","no"
"7","7-Jul",2021,"open","no"
"8","8-Jul",2021,"closed","no"
"9","9-Jul",2021,"closed","no"
"10","10-Jul",2021,"closed","no"
"11","11-Jul",2021,"closed","no"
"12","12-Jul",2021,"closed","no"
"13","13-Jul",2021,"closed","no"
"14","14-Jul",2021,"closed","no"
"15","15-Jul",2021,"closed","no"
"16","16-Jul",2021,"closed","no"
"17","17-Jul",2021,"closed","no"
"18","18-Jul",2021,"closed","no"
"19","19-Jul",2021,"closed","no"
"20","20-Jul",2021,"closed","no"
"21","21-Jul",2021,"closed","no"
"22","22-Jul",2021,"closed","no"
"23","23-Jul",2021,"closed","no"
"24","24-Jul",2021,"closed","no"
"25","25-Jul",2021,"closed","no"
"26","26-Jul",2021,"closed","no"
"27","27-Jul",2021,"closed","yes"
"28","28-Jul",2021,"closed","no"
"29","29-Jul",2021,"closed","no"
"30","30-Jul",2021,"closed","no"
"31","31-Jul",2021,"closed","no"
"32","1-Jul",2022,"closed","no"
"33","2-Jul",2022,"closed","no"
"34","3-Jul",2022,"closed","no"
"35","4-Jul",2022,"closed","no"
"36","5-Jul",2022,"closed","no"
"37","6-Jul",2022,"closed","no"
"38","7-Jul",2022,"closed","no"
"39","8-Jul",2022,"closed","no"
"40","9-Jul",2022,"closed","yes"
"41","10-Jul",2022,"closed","yes"
"42","11-Jul",2022,"closed","yes"
"43","12-Jul",2022,"closed","yes"
"44","13-Jul",2022,"open","yes"
"45","14-Jul",2022,"open","no"
"46","15-Jul",2022,"open","no"
"47","16-Jul",2022,"closed","no"
"48","17-Jul",2022,"closed","no"
"49","18-Jul",2022,"closed","no"
"50","19-Jul",2022,"closed","no"
"51","20-Jul",2022,"closed","no"
"52","21-Jul",2022,"open","no"
"53","22-Jul",2022,"open","yes"
"54","23-Jul",2022,"open","yes"
"55","24-Jul",2022,"closed","yes"
"56","25-Jul",2022,"closed","yes"
"57","26-Jul",2022,"closed","yes"
"58","27-Jul",2022,"closed","yes"
"59","28-Jul",2022,"open","yes"
"60","29-Jul",2022,"open","yes"
"61","30-Jul",2022,"open","yes"
"62","31-Jul",2022,"closed","no"
"63","1-Jul",2020,"open","yes"
"64","2-Jul",2020,"open","yes"
"65","3-Jul",2020,"open","yes"
"66","4-Jul",2020,"open","yes"
"67","5-Jul",2020,"open","yes"
"68","6-Jul",2020,"open","yes"
"69","7-Jul",2020,"open","yes"
"70","8-Jul",2020,"open","yes"
"71","9-Jul",2020,"open","yes"
"72","10-Jul",2020,"open","yes"
"73","11-Jul",2020,"open","yes"
"74","12-Jul",2020,"open","yes"
"75","13-Jul",2020,"open","yes"
"76","14-Jul",2020,"open","yes"
"77","15-Jul",2020,"open","yes"
"78","16-Jul",2020,"open","no"
"79","17-Jul",2020,"open","yes"
"80","18-Jul",2020,"open","yes"
"81","19-Jul",2020,"open","no"
"82","20-Jul",2020,"open","no"
"83","21-Jul",2020,"open","no"
"84","22-Jul",2020,"open","no"
"85","23-Jul",2020,"open","no"
"86","24-Jul",2020,"open","yes"
"87","25-Jul",2020,"open","yes"
"88","26-Jul",2020,"open","no"
"89","27-Jul",2020,"open","no"
"90","28-Jul",2020,"open","yes"
"91","29-Jul",2020,"open","no"
"92","30-Jul",2020,"open","no"
"93","31-Jul",2020,"open","no"
"94","1-Aug",2020,"closed","no"
"95","2-Aug",2020,"closed","no"
"96","3-Aug",2020,"closed","no"
"97","4-Aug",2020,"closed","no"
"98","5-Aug",2020,"closed","no"
"99","6-Aug",2020,"closed","no"
"100","7-Aug",2020,"closed","yes"
"101","8-Aug",2020,"closed","no"
"102","9-Aug",2020,"closed","no"
"103","10-Aug",2020,"closed","no"
"104","11-Aug",2020,"closed","no"
"105","12-Aug",2020,"closed","no"
"106","13-Aug",2020,"closed","no"
"107","14-Aug",2020,"closed","no"
"108","15-Aug",2020,"closed","no"
"109","16-Aug",2020,"closed","yes"
"110","17-Aug",2020,"closed","yes"
"111","18-Aug",2020,"closed","yes"
"112","19-Aug",2020,"closed","yes"
"113","20-Aug",2020,"closed","no"
"114","21-Aug",2020,"closed","yes"
"115","22-Aug",2020,"open","no"
"116","23-Aug",2020,"open","no"
"117","24-Aug",2020,"open","yes"
"118","25-Aug",2020,"open","no"
"119","26-Aug",2020,"open","no"
"120","27-Aug",2020,"open","no"
"121","28-Aug",2020,"open","no"
"122","29-Aug",2020,"open","no"
"123","30-Aug",2020,"open","yes"
"124","31-Aug",2020,"open","no"
