Year,Month,Day,regulations,catch_area_code,location_code,location_name,boats,anglers,ChinookCaught,ChinAdClipped
2001,1,2,NA,11,1046,Dash Point Dock,1,1,,
2001,1,2,NA,11,1281,Point Defiance Dock,6,6,,
2001,1,4,NA,13,1561,Narrows Properties Park,4,4,,
2001,1,6,NA,7,1041,Coronet Bay Public Ramp,2,4,,
2001,1,6,NA,81,1041,Coronet Bay Public Ramp,3,7,,
2001,1,6,NA,10,1227,Shilshole Public Ramp,1,2,,
2001,1,6,NA,13,1561,Narrows Properties Park,8,8,,
2001,1,7,NA,11,1281,Point Defiance Dock,8,8,,
2001,1,7,NA,13,1561,Narrows Properties Park,6,6,,
2001,1,8,NA,13,1561,Narrows Properties Park,1,1,,
2001,1,9,NA,13,1070,Fox Island Public Ramp,1,1,,
2001,1,9,NA,11,1281,Point Defiance Dock,3,3,,
2001,1,9,NA,82,1907,Everett Marina,10,10,,
2001,1,10,NA,13,1561,Narrows Properties Park,3,3,,
2001,1,12,NA,7,1041,Coronet Bay Public Ramp,1,2,,
2001,1,13,NA,9,1056,Edmonds Public Fishing Pier,8,8,,
2001,1,13,NA,13,1561,Narrows Properties Park,11,11,,
2001,1,14,NA,15,1041,Coronet Bay Public Ramp,1,3,,
2001,1,14,NA,81,1041,Coronet Bay Public Ramp,2,4,,
2001,1,14,NA,82,1151,Norton Street (Everett) Ramp,4,8,,
2001,1,14,NA,11,1174,Point Defiance Public Ramp,1,2,,
2001,1,14,NA,13,1174,Point Defiance Public Ramp,1,2,,
2001,1,14,NA,11,1281,Point Defiance Dock,5,5,,
2001,1,16,NA,13,1070,Fox Island Public Ramp,2,3,,
2001,1,17,NA,13,1070,Fox Island Public Ramp,1,2,,
2001,1,17,NA,10,1428,Seacrest Pier,6,6,,
2001,1,17,NA,13,1561,Narrows Properties Park,7,7,,
2001,1,20,NA,10,1428,Seacrest Pier,7,7,,
2001,1,21,NA,13,1561,Narrows Properties Park,11,11,,
2001,1,22,NA,13,1561,Narrows Properties Park,4,4,,
2001,1,23,NA,13,1561,Narrows Properties Park,1,1,,
2001,1,26,NA,82,1907,Everett Marina,6,6,,
2001,1,27,NA,6,1041,Coronet Bay Public Ramp,1,1,,
2001,1,27,NA,7,1041,Coronet Bay Public Ramp,4,7,,
2001,1,27,NA,81,1041,Coronet Bay Public Ramp,2,3,,
2001,1,27,NA,10,1218,Seattle Public Fishing Pier,5,5,,
2001,1,27,NA,13,1561,Narrows Properties Park,6,6,,
2001,1,28,NA,13,1561,Narrows Properties Park,3,3,,
2001,1,29,NA,13,1561,Narrows Properties Park,1,1,,
2001,2,3,NA,13,1561,Narrows Properties Park,4,4,,
2001,2,4,NA,7,1041,Coronet Bay Public Ramp,1,2,,
2001,2,4,NA,81,1041,Coronet Bay Public Ramp,1,2,,
2001,2,10,NA,7,1268,Washington Park Launch Ramp,2,4,,
2001,2,10,NA,13,1561,Narrows Properties Park,1,1,,
2001,2,11,NA,7,1041,Coronet Bay Public Ramp,1,3,,
2001,2,11,NA,81,1041,Coronet Bay Public Ramp,3,7,,
2001,2,11,NA,82,1151,Norton Street (Everett) Ramp,2,5,,
2001,2,11,NA,13,1235,Solo Point (Tatsolo Pt-Ft Lewis) Rm,2,3,,
2001,2,13,NA,10,1431,Elliott Bay Public Pier,9,9,,
2001,2,16,NA,10,1006,Armeni Public Ramp,5,8,,
2001,2,16,NA,7,1013,Bellingham Ramp (Glenn St.),1,2,,
2001,2,16,NA,10,1174,Point Defiance Public Ramp,1,3,,
2001,2,16,NA,11,1174,Point Defiance Public Ramp,12,24,,
2001,2,16,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",1,3,,
2001,2,17,NA,7,1013,Bellingham Ramp (Glenn St.),14,30,,
2001,2,17,NA,9,1055,Edmonds Boat Basin (Public Sling),9,20,,
2001,2,17,NA,10,1055,Edmonds Boat Basin (Public Sling),5,13,,
2001,2,17,NA,11,1149,"Narrows Marina (Boathouse, Ramp, Rental)",15,22,,
2001,2,17,NA,13,1149,"Narrows Marina (Boathouse, Ramp, Rental)",8,13,,
2001,2,17,NA,5,1159,Olsons (Combined),28,69,,
2001,2,17,NA,11,1173,Point Defiance Boathouse,16,26,,
2001,2,17,NA,9,1227,Shilshole Public Ramp,3,8,,
2001,2,17,NA,10,1227,Shilshole Public Ramp,14,24,,
2001,2,17,NA,7,1268,Washington Park Launch Ramp,42,97,,
2001,2,18,NA,10,1006,Armeni Public Ramp,33,62,,
2001,2,18,NA,6,1041,Coronet Bay Public Ramp,1,4,,
2001,2,18,NA,12,1143,Misery Point Ramp,1,1,,
2001,2,18,NA,10,1149,"Narrows Marina (Boathouse, Ramp, Rental)",1,1,,
2001,2,18,NA,11,1149,"Narrows Marina (Boathouse, Ramp, Rental)",8,13,,
2001,2,18,NA,13,1149,"Narrows Marina (Boathouse, Ramp, Rental)",4,6,,
2001,2,18,NA,9,1151,Norton Street (Everett) Ramp,12,29,,
2001,2,18,NA,81,1151,Norton Street (Everett) Ramp,9,20,,
2001,2,18,NA,82,1151,Norton Street (Everett) Ramp,84,192,,
2001,2,18,NA,4,1159,Olsons (Combined),1,1,,
2001,2,18,NA,5,1159,Olsons (Combined),38,92,,
2001,2,18,NA,12,1217,Seabeck Marina (Pecks),4,7,,
2001,2,18,NA,7,1231,Skyline Marina/Sling (Flounder Bay),15,32,,
2001,2,18,NA,7,1268,Washington Park Launch Ramp,33,72,,
2001,2,20,NA,11,1086,Gig Harbor Ramp,2,2,,
2001,2,20,NA,11,1173,Point Defiance Boathouse,10,13,,
2001,2,20,NA,11,1174,Point Defiance Public Ramp,8,15,,
2001,2,20,NA,6,1186,"Ediz Hook, Port Angeles Public Ramp",1,1,,
